"Competitor","Brand","Type","Model","Price","Processor","RAM","Storage","Screen","Form Factor","Cosmetic Grade"
"PCLiquidations","Lenovo","Laptop","ThinkBook 13s G2 ITL","309.96","Intel i7-1165G7 2.8GHz","","","2560 x 1600 (WQXGA)","","N/A"
"PCLiquidations","Lenovo","Laptop","ThinkBook 13s G2 ITL","309.96","Intel i7-1165G7 2.8GHz","","","2560 x 1600 (WQXGA)","","N/A"
"PCLiquidations","Lenovo","Laptop","ThinkBook 13s G2 ITL","309.96","Intel i7-1165G7 2.8GHz","","","2560 x 1600 (WQXGA)","","N/A"
"PCLiquidations","Dell","Desktop","Optiplex 7060","311.97","Intel Core i5 (8500T) 2.1GHz","8GB DDR4","256GB SSD","","Micro","N/A"
"PCLiquidations","Dell","Desktop","Optiplex 7060","311.97","Intel Core i5 (8500T) 2.1GHz","8GB DDR4","256GB SSD","","Micro","N/A"
"PCLiquidations","Dell","Desktop","Optiplex 7060","311.97","Intel Core i5 (8500T) 2.1GHz","8GB DDR4","256GB SSD","","Micro","N/A"
"PCLiquidations","Dell","Desktop","OptiPlex 7060","311.97","Intel Core i5 (8500T) 2.1GHz","8GB DDR4","256GB SSD","","Micro","N/A"
"PCLiquidations","Dell","Desktop","OptiPlex 7060","311.97","Intel Core i5 (8500T) 2.1GHz","8GB DDR4","256GB SSD","","Micro","N/A"
"PCLiquidations","HP","Desktop","EliteDesk 800 G5","312","Intel i5-9500T 2.2 GHz","8GB DDR4","256GB M.2 SSD","","Mini","N/A"
"PCLiquidations","HP","Desktop","EliteDesk 800 G5","312","Intel i5-9500T 2.2 GHz","8GB DDR4","256GB M.2 SSD","","Mini","N/A"
"PCLiquidations","HP","Desktop","EliteDesk 800 G5","312","Intel i5-9500T 2.2 GHz","8GB DDR4","256GB M.2 SSD","","Mini","N/A"
"PCLiquidations","HP","Desktop","EliteDesk 800 G5","312","Intel i5-9500T 2.2 GHz","8GB DDR4","256GB M.2 SSD","","Mini","N/A"
"PCLiquidations","HP","Desktop","EliteDesk 800 G5","312","Intel i5-9500T 2.2 GHz","8GB DDR4","256GB M.2 SSD","","Mini","N/A"
"PCLiquidations","HP","Desktop","EliteDesk 800 G5","312","Intel i5-9500T 2.2 GHz","8GB DDR4","256GB M.2 SSD","","Mini","N/A"
